"asin","sku","product_name","ad_spend","ad_clicks","ad_impressions","ad_units_ordered","ad_sales","profit","total_expense","sales_amount","ad_conversions","quantity","formatted_date"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","85.8000000000","19","5121","0","0.0000000000","-73.2852500000","112.2852500000","39.0000000000","0","1","2024-07-12"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","32.5400000000","8","3996","1","39.0000000000","5.0042500000","111.9957500000","117.0000000000","1","3","2024-07-11"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","44.2900000000","8","1481","0","0.0000000000","18.2837500000","176.7162500000","195.0000000000","0","5","2024-07-10"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","26.3500000000","7","1164","0","0.0000000000","59.6237500000","135.3762500000","195.0000000000","0","5","2024-07-09"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","21.3100000000","7","2244","0","0.0000000000","52.1490000000","103.8510000000","156.0000000000","0","4","2024-07-08"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","21.0400000000","8","6184","0","0.0000000000","-2.6752500000","41.6752500000","39.0000000000","0","1","2024-07-07"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","25.4500000000","9","4287","0","0.0000000000","-25.4500000000","25.4500000000",,"0",,"2024-07-06"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","13.8200000000","6","3128","0","0.0000000000","-0.6052500000","39.6052500000","39.0000000000","0","1","2024-07-05"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","7.3300000000","4","4943","0","0.0000000000","-7.3300000000","7.3300000000",,"0",,"2024-07-04"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","16.2700000000","6","4387","0","0.0000000000","75.5537500000","119.4462500000","195.0000000000","0","5","2024-07-03"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","23.3600000000","9","3026","1","39.0000000000","50.0990000000","105.9010000000","156.0000000000","1","4","2024-07-02"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","5.9700000000","3","981","0","0.0000000000","93.3332500000","179.6667500000","273.0000000000","0","7","2024-07-01"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","2.3700000000","2","761","0","0.0000000000","109.4480000000","202.5520000000","312.0000000000","0","8","2024-06-30"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","2.4800000000","3","302","1","39.0000000000","128.1275000000","261.8725000000","390.0000000000","1","10","2024-06-29"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","1.0700000000","2","224","1","39.0000000000","36.4742500000","80.5257500000","117.0000000000","1","3","2024-06-28"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBA","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets","0.0000000000","0","99","0","0.0000000000","0.0000000000","0.0000000000",,"0",,"2024-06-27"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBM","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets",,,,,,"24.0000000000","15.0000000000","39.0000000000",,"1","2024-06-26"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBM","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets",,,,,,"24.0000000000","15.0000000000","39.0000000000",,"1","2024-06-24"
"B0D7HXQBYC","COL.EL.LEM.made.20240101-FBM","LEMON & CO. Lemon Collagen Elixir - 5g Wild Caught Marine Collagen with Vitamin C & Organic Lemons - Non-GMO, Sugar-Free, Preservative-Free Superfood Drink for Nails, Hair & Skin - 14 Sachets",,,,,,"48.0000000000","30.0000000000","78.0000000000",,"2","2024-06-22"
